12.37 0.94 1.36 10.6 88 1.98 0.57 0.28 0.42 1.95 1.05 1.82 520
13.11 1.01 1.7  15 78 2.98 3.18 0.26 2.28 5.3 1.12 3.18 502
12.08 2.08 1.7  17.5 97 2.23 2.17 0.26 1.4 3.3 1.27 2.96 710
13.03 0.9  1.71 16 86 1.95 2.03 0.24 1.46 4.6 1.19 2.48 392
12.21 1.19 1.75 16.8 151 1.85 1.28 0.14 2.5 2.85 1.28 3.07 718
11.46 3.74 1.82 19.5 107 3.18 2.58 0.24 3.58 2.9 0.75 2.81 562
11.82 1.72 1.88 19.5 86 2.5 1.64 0.37 1.42 2.06 0.94 2.44 415
12.6 1.34 1.9  18.5 88 1.45 1.36 0.29 1.35 2.45 1.04 2.77 562
13.67 1.25 1.92 18 94 2.1 1.79 0.32 0.73 3.8 1.23 2.46 630
12.37 1.17 1.92 19.6 78 2.11 2 0.27 1.04 4.68 1.12 3.48 510
11.66 1.88 1.92 16 97 1.61 1.57 0.34 1.15 3.8 1.23 2.14 428
12.22 1.29 1.94 19 92 2.36 2.04 0.39 2.08 2.7 0.86 3.02 312
12.33 0.99 1.95 14.8 136 1.9 1.85 0.35 2.76 3.4 1.06 2.31 750
12.29 1.41 1.98 16 85 2.55 2.5 0.29 1.77 2.9 1.23 2.74 428
12.51 1.73 1.98 20.5 85 2.2 1.92 0.32 1.48 2.94 1.04 3.57 672
12.77 3.43 1.98 16 80 1.63 1.25 0.43 0.83 3.4 0.7 2.12 372
11.82 1.47 1.99 20.8 86 1.98 1.6 0.3 1.53 1.95 0.95 3.33 495
12  0.92 2  19 86 2.42 2.26 0.3 1.43 2.5 1.38 3.12 278
12  3.43 2  19 87 2 1.64 0.37 1.87 1.28 0.93 3.05 564
12.64 1.36 2.02 16.8 100 2.02 1.41 0.53 0.62 5.75 0.98 1.59 450
13.05 1.73 2.04 12.4 92 2.72 3.27 0.17 2.91 7.2 1.12 2.91 1150
13.07 1.5  2.1 15.5 98 2.4 2.64 0.28 1.37 3.7 1.18 2.69 1020
13.05 1.77 2.1 17 107 3 3 0.28 2.03 5.04 0.88 3.35 885
12.37 1.07 2.1 18.5 88 3.52 3.75 0.24 1.95 4.5 1.04 2.77 660
